latitude,longitude,price
43.67728057,-79.33584973,48
43.65699916,-79.44783756,85
43.66205292,-79.45609556,260
43.66712436,-79.33678341,180
43.64133008,-79.4230553,100
43.64895474,-79.38800202,89
43.66194703,-79.41141401,90
43.6354037,-79.43853823,149
43.77873468,-79.41245386,140
43.67112958,-79.2983932,299
43.6434059,-79.40045768,190
43.64142548,-79.43130583,300
43.67423011,-79.37027637,650
43.67980168,-79.34217753,125
43.65431705,-79.39847076,111
43.64878287,-79.38690653,149
43.67144381,-79.3768508,66
43.65765205,-79.36281325,66
43.64282571,-79.44686247,300
43.63635161,-79.47099267,60
43.67149036,-79.38611433,121
43.72028784,-79.33472704,41
43.66419874,-79.38464653,189
43.69765393,-79.39366948,60
43.65395271,-79.43132209,66
43.66169823,-79.37496217,195
43.79014108,-79.38902986,121
43.64656992,-79.40682002,450
43.65646198,-79.40309574,201
43.63926571,-79.43032824,250
43.6607781,-79.38051661,90
43.68697835,-79.42234471,140
43.67740931,-79.3107898,28
43.68143008,-79.45873322,28
43.65475248,-79.37934007,305
43.66882676,-79.38365165,197
43.70629565,-79.48767659,55
43.64427548,-79.4026826,189
43.6435254,-79.40153725,165
43.68767085,-79.44004042,107
43.66736491,-79.38012644,68
43.6777528,-79.42171219,75
43.664444,-79.42534205,115
43.64277622,-79.41018287,69
43.75809122,-79.31778072,184
43.66697144,-79.40508902,75
43.65751167,-79.37177514,66
43.64887178,-79.43201906,208
43.66021069,-79.43757244,149
43.66585163,-79.47555651,79
43.65264497,-79.41100157,225
43.75863859,-79.31796905,52
43.6587488,-79.44550677,145
43.76542235,-79.40359029,67
43.64278916,-79.43347173,139
43.64261632,-79.40315471,66
43.65248498,-79.40885053,55
43.65899023,-79.42473913,295
43.65037744,-79.41018576,55
43.63930949,-79.38173982,220
43.66002035,-79.37217134,66
43.65931061,-79.37258237,59
43.66014728,-79.37206439,39
43.65851816,-79.37165423,54
43.65796025,-79.37145709,54
43.6582267,-79.37212591,45
43.66003573,-79.37174679,45
43.6257514,-79.48815476,201
43.68884201,-79.31406369,80
43.65007363,-79.42561102,69
43.66610091,-79.47597581,125
43.64147008,-79.39269255,199
43.66100544,-79.42694718,90
43.65669749,-79.37323688,59
43.65238657,-79.40901684,52
43.65158879,-79.40826559,50
43.65707022,-79.41011229,100
43.59089329,-79.52432505,100
43.6549574,-79.40233259,41
43.68180803,-79.32461657,250
43.66525186,-79.38751941,121
43.68616593,-79.29311008,119
43.67672767,-79.42317695,350
43.64317217,-79.38043896,169
43.65408952,-79.38456362,165
43.63802815,-79.41904078,130
43.66096145,-79.34762548,115
43.67059959,-79.38091269,135
43.6535448,-79.43507946,85
43.67666404,-79.31321512,69
43.65758507,-79.37071869,49
43.65334661,-79.39001062,114
43.75320791,-79.33165978,50
43.63712453,-79.39292571,195
43.66270575,-79.42506471,69
43.65957691,-79.41257305,75
43.65336781,-79.4022678,39
43.67040311,-79.37574028,55
43.70519464,-79.24773767,35
43.6903155,-79.35235958,450
43.67567108,-79.31219963,29
43.67638367,-79.31019645,31
43.67368149,-79.4603161,100
43.64371748,-79.43282739,66
43.63911918,-79.43946104,94
43.6427066,-79.39243697,218
43.63514278,-79.42735881,66
43.66202984,-79.47818493,121
43.63748195,-79.405656,140
43.66792262,-79.37955078,138
43.78505455,-79.2088693,250
43.65804752,-79.39600775,85
43.65653398,-79.3629743,50
43.65491669,-79.38185019,140
43.68524402,-79.29109994,56
43.67037728,-79.40462673,94
43.6667475,-79.3754911,225
43.65754094,-79.45896146,250
43.70239807,-79.39664462,66
43.64673094,-79.39315083,400
43.65805943,-79.41355983,35
43.68356221,-79.38266983,64
43.65046846,-79.39239122,93
43.7497466,-79.54776936,38
43.74978985,-79.54896186,45
43.65848329,-79.45408132,100
43.65369047,-79.45178421,201
43.65540873,-79.4532674,290
43.65540982,-79.4528897,270
43.64827369,-79.36607208,146
43.59770525,-79.52480158,46
43.76685726,-79.38285294,169
43.64446204,-79.40267791,165
43.59743331,-79.52483853,41
